uri,name,net_worth_b,net_worth_m,rank_global,birth_date,gender,citizenship,state,city,zip_code,latitude,longitude,industry,wealth_source,organization_name,organization_title,self_made,self_made_type,self_made_rank,marital_status,children,education,is_family_fortune,deceased,publicly_traded_wealth_m,publicly_traded_pct,private_wealth_m,num_asset_holdings,asset_details,nw_2019_m,nw_2020_m,nw_2021_m,nw_2022_m,nw_2023_m,nw_2024_m,nw_2025_m,nw_2025_min_m,nw_2025_max_m,nw_2025_range_m,rank_2024,rank_2025
larry-page,Larry Page,276.39,276390.86,2,1973-03-26,m,us,California,Palo Alto,94301,37.443002,-122.152332,technology,Google,Alphabet,Cofounder and board member,True,self-made,8,Married,1,Master of Science @ Stanford University; Bachelor of Arts/Science @ University of Michigan,False,False,264288.86,0.9562,12102,2,"GOOGL-US:390,790,283@$338.00; GOOG-US:390,517,083@$338.53",59979.736,77209.8,123487.714,77341.93,117224.629,156020.049,256963.619,121683.291,264886.158,143202.867,6,2
sergey-brin,Sergey Brin,254.98,254979.85,3,1973-08-21,m,us,California,Los Altos,,,,technology,Google,Alphabet,Cofounder and board member,True,self-made,9,Separated,3,"Master of Science @ Stanford University; Bachelor of Arts/Science @ University of Maryland, College Park",False,False,243006.85,0.953,11973,2,"GOOGL-US:358,595,000@$338.00; GOOG-US:359,796,000@$338.53",57833.715,75033.797,118987.926,74224.624,112447.747,148971.208,237117.22,116830.179,245552.123,128721.944,7,5
mark-zuckerberg,Mark Zuckerberg,245.47,245466.02,5,1984-05-14,m,us,California,Palo Alto,94301,37.443002,-122.152332,technology,Facebook,Meta Platforms,Cofounder,True,self-made,8,Married,3,Drop Out @ Harvard University,False,False,242941.02,0.9897,2525,1,"META-US:339,066,318@$716.50",71239.228,100340.08,120322.073,43790.736,125258.787,202473.789,226339.286,168018.852,272336.853,104318.001,4,6
larry-ellison,Larry Ellison,211.23,211230.44,6,1944-08-17,m,us,California,Woodside,,,,technology,Oracle,Oracle,CTO and Founder,True,self-made,9,In Relationship,4,"Drop Out @ University of Chicago; Drop Out @ University of Illinois, Urbana-Champaign",False,False,200597.94,0.9497,10632.5,4,"ORCL-US:1,088,982,000@$164.58; ORCL-US:0@$164.58; PSKY-US:524,400,000@$11.21; TSLA-US:36,000,000@$430.41",68716.234,88211.353,119681.398,102396.942,135263.491,209721.82,245032.862,155405.633,392302.587,236896.954,3,3
jensen-huang,Jensen Huang,165.91,165913.2,8,1963-02-17,m,us,California,Los Altos,94022,37.3694009,-122.1405413,technology,Semiconductors,NVIDIA,CEO & President,True,self-made,8,Married,0,Bachelor of Science in Engineering @ Oregon State University; Master of Science in Engineering @ Stanford University,False,False,,,2004,4,"NVDA-US:857,579,636@$0.00; NVDA-US:0@$0.00; NVDA-US:0@$0.00; NVDA-US:0@$0.00",,,,,,117246.23,161942.602,82828.163,179557.288,96729.125,10,8
eric-schmidt,Eric Schmidt,37.9,37895.4,54,1955-04-27,m,us,California,Atherton,94027,37.457732,-122.199117,technology,Google,,,True,self-made,6,Married,2,"Bachelor of Arts/Science @ Princeton University; Doctorate @ University of California, Berkeley; Master of Science @ University of California, Berkeley",False,False,30099.5,0.7943,7795.9,2,"GOOGL-US:48,770,000@$338.00; GOOG-US:40,218,711@$338.53",15189.172,16903.38,23963.181,15878.812,20412.551,25567.796,35681.542,21057.809,36586.452,15528.643,75,59
henry-samueli,Henry Samueli,31.8,31803.57,66,1954-09-20,m,us,California,Newport Beach,92625,33.60188,-117.866679,technology,Semiconductors,Broadcom,"Cofounder, Chief Technology Officer and Chairman",True,self-made,9,Married,3,"Bachelor of Arts/Science @ University of California, Los Angeles; Doctorate @ University of California, Los Angeles; Master of Science @ University of California, Los Angeles",False,False,,,3457.685598,1,"AVGO-US:85,559,569@$0.00",4837.172,5895.69,8159.797,7230.552,12342.808,22940.101,31745.029,15396.302,37251.635,21855.333,87,64
robert-pera,Robert Pera,26.84,26841.83,82,1978-03-10,m,us,California,San Jose,,,,technology,Wireless networking,Ubiquiti,Chief Executive Officer,True,self-made,8,Single,0,"Bachelor of Arts/Science @ University of California, San Diego; Master of Science @ University of California, San Diego",False,False,,,2015.244,1,"UI-US:45,023,000@$0.00",7255.925,15976.586,17636.688,15994.771,7370.11,16188.484,25030.454,13555.539,34900.418,21344.879,124,92
peter-thiel,Peter Thiel,26.3,26301.84,86,1967-10-11,m,us,California,Los Angeles,90012,34.072437,-118.246879,finance-investments,"Facebook, investments",Founders Fund,Investor,True,self-made,8,Married,1,Bachelor of Arts/Science @ Stanford University; Doctor of Jurisprudence @ Stanford University,False,False,,,11980,3,"CMMB-US:0@$0.00; META-US:0@$0.00; PLTR-US:97,700,000@$0.00",2329.013,4809.281,3181.696,4101.13,6252.264,14854.677,25925.059,13482.332,28820.26,15337.928,149,87
john-tu,John Tu,21.96,21964.97,110,1941-08-12,m,us,California,Rolling Hills,90274,33.757732,-118.388239,technology,Computer hardware,Kingston Technology Corporation,President,True,self-made,9,Married,2,Bachelor of Arts/Science @ Technische Universität Darmstadt,False,False,,,21964.965,0,,5773.718,6533.4,7154.899,5950.572,11383.712,16130.782,17350.072,11055.317,18605.67,7550.353,125,142
